Date;;Thu, 15 Dec 2016 20:59:25 +0000;;;
Cite;;Wessa, P. (2016), Free Statistics Software, Office for Research Development and Education, version 1.1.23-r7, URL http://www.wessa.net/;;;
All rights reserved. Academic license for non-commercial use only.;;;;;
;;;;;
;;;;;
Select a Descriptive Statistics Module in the right panel to use the (log) returns of the (close) time series for analysis.;;;;;
;;;;;
Time Series - JPMorgan Chase;;;;;
Date;Open;High;Low;Close;Log Return
14/5/2015;65.830.002;66.18;65.709.999;66.050.003;0.0081
15/5/2015;66.129.997;66.160.004;65.440.002;65.879.997;-0.0026
18/5/2015;65.800.003;66.540.001;65.800.003;66.419.998;0.0082
19/5/2015;66.769.997;67.190.002;66.57;67.010.002;0.0088
20/5/2015;66.949.997;67.029.999;66.400.002;66.480.003;-0.0079
21/5/2015;66.139.999;66.68;66.010.002;66.650.002;0.0026
22/5/2015;66.629.997;66.830.002;66.32;66.470.001;-0.0027
26/5/2015;66.199.997;66.290.001;65.309.998;65.730.003;-0.0112
27/5/2015;65.949.997;66.650.002;65.82;66.470.001;0.0112
28/5/2015;66.360.001;66.400.002;65.739.998;66.199.997;-0.0041
29/5/2015;66.18;66.220.001;65.360.001;65.779.999;-0.0064
1/6/2015;65.989.998;66.660.004;65.970.001;66.080.002;0.0046
2/6/2015;65.830.002;66.389.999;65.580.002;66.019.997;-0.0009
3/6/2015;66.43;67.129.997;66.269.997;66.699.997;0.0102
4/6/2015;66.309.998;67.050.003;66.010.002;66.330.002;-0.0056
5/6/2015;67.370.003;67.839.996;67.010.002;67.419.998;0.0163
8/6/2015;67.459.999;67.550.003;66.809.998;66.889.999;-0.0079
9/6/2015;66.949.997;67.269.997;66.470.001;67.18;0.0043
10/6/2015;67.589.996;68.50;67.470.001;68.260.002;0.0159
11/6/2015;68.360.001;68.68;68.150.002;68.519.997;0.0038
12/6/2015;68.309.998;68.540.001;67.870.003;68.25;-0.0039
15/6/2015;67.580.002;68.209.999;67.300.003;67.989.998;-0.0038
16/6/2015;67.769.997;68.519.997;67.620.003;68.370.003;0.0056
17/6/2015;68.410.004;68.68;68.040.001;68.139.999;-0.0034
18/6/2015;68.349.998;68.82;67.900.002;68.779.999;0.0093
19/6/2015;68.459.999;68.669.998;67.919.998;68.080.002;-0.0102
22/6/2015;68.870.003;69.290.001;68.75;68.959.999;0.0128
23/6/2015;69.349.998;69.82;69.190.002;69.75;0.0114
24/6/2015;69.510.002;69.769.997;68.910.004;69.019.997;-0.0105
25/6/2015;69.32;69.470.001;68.639.999;68.650.002;-0.0054
26/6/2015;68.940.002;69.290.001;68.769.997;68.949.997;0.0044
29/6/2015;67.68;68.260.002;67.160.004;67.199.997;-0.0257
30/6/2015;67.889.999;68.110.001;67.160.004;67.760.002;0.0083
1/7/2015;68.120.003;68.389.999;67.779.999;68.07;0.0046
2/7/2015;67.949.997;68.129.997;67.190.002;67.519.997;-0.0081
6/7/2015;66.879.997;67.459.999;66.540.001;67.330.002;-0.0028
7/7/2015;67.089.996;67.220.001;65.300.003;66.800.003;-0.0079
8/7/2015;66.00;66.160.004;65.209.999;65.43;-0.0207
9/7/2015;66.489.998;66.699.997;65.989.998;66.110.001;0.0103
10/7/2015;67.220.001;67.400.002;66.830.002;67.050.003;0.0141
13/7/2015;67.889.999;68.139.999;67.68;68.089.996;0.0154
14/7/2015;67.980.003;69.099.998;67.760.002;69.040.001;0.0139
15/7/2015;69.230.003;69.43;68.849.998;69.190.002;0.0022
16/7/2015;69.629.997;69.949.997;69.410.004;69.559.998;0.0053
17/7/2015;69.349.998;69.489.998;68.919.998;69.209.999;-0.005
20/7/2015;69.50;69.769.997;69.18;69.260.002;0.0007
21/7/2015;69.160.004;69.540.001;68.870.003;69.099.998;-0.0023
22/7/2015;69.279.999;70.290.001;69.199.997;70.080.002;0.0141
23/7/2015;70.190.002;70.610.001;69.459.999;69.639.999;-0.0063
24/7/2015;69.440.002;69.559.998;68.68;68.910.004;-0.0105
27/7/2015;68.150.002;68.220.001;67.57;68.010.002;-0.0131
28/7/2015;68.550.003;68.599.998;67.769.997;68.050.003;0.0006
29/7/2015;68.32;69.099.998;68.160.004;68.940.002;0.013
30/7/2015;68.93;69.449.997;68.540.001;69.040.001;0.0014
31/7/2015;69.010.002;69.040.001;68.400.002;68.529.999;-0.0074
3/8/2015;68.589.996;68.839.996;68.00;68.529.999;0
4/8/2015;68.470.001;68.949.997;68.309.998;68.459.999;-0.001
5/8/2015;69.050.003;69.419.998;68.559.998;68.730.003;0.0039
6/8/2015;68.75;68.940.002;68.00;68.25;-0.007
7/8/2015;68.330.002;68.739.998;67.550.003;68.050.003;-0.0029
10/8/2015;68.220.001;69.010.002;68.220.001;68.889.999;0.0123
11/8/2015;68.230.003;68.400.002;67.849.998;68.230.003;-0.0096
12/8/2015;67.410.004;67.550.003;66.07;67.239.998;-0.0146
13/8/2015;67.25;67.800.003;66.970.001;67.550.003;0.0046
14/8/2015;67.419.998;67.910.004;67.400.002;67.889.999;0.005
17/8/2015;67.620.003;68.239.998;67.400.002;68.07;0.0026
18/8/2015;67.980.003;68.360.001;67.839.996;68.209.999;0.0021
19/8/2015;67.93;68.309.998;67.360.001;67.599.998;-0.009
20/8/2015;66.809.998;67.040.001;65.940.002;65.940.002;-0.0249
21/8/2015;65.089.996;65.440.002;63.57;63.599.998;-0.0361
24/8/2015;59.290.001;62.919.998;50.07;60.25;-0.0541
25/8/2015;63.099.998;63.32;59.73;59.91;-0.0057
26/8/2015;61.799.999;62.98;60.549.999;62.91;0.0489
27/8/2015;63.98;64.730.003;63.139.999;64.480.003;0.0247
28/8/2015;64.290.001;64.459.999;63.599.998;64.129.997;-0.0054
31/8/2015;63.610.001;64.349.998;63.470.001;64.099.998;-0.0005
1/9/2015;62.849.998;62.849.998;60.990.002;61.450.001;-0.0422
2/9/2015;62.619.999;62.91;61.540.001;62.57;0.0181
3/9/2015;62.880.001;63.66;62.450.001;62.68;0.0018
4/9/2015;61.799.999;61.919.998;60.75;61.50;-0.019
8/9/2015;62.77;63.200.001;62.330.002;63.16;0.0266
9/9/2015;63.939.999;64.339.996;62.00;62.18;-0.0156
10/9/2015;61.860.001;63.00;61.450.001;62.66;0.0077
11/9/2015;62.380.001;62.66;61.990.002;62.560.001;-0.0016
14/9/2015;62.639.999;62.689.999;62.119.999;62.380.001;-0.0029
15/9/2015;62.759.998;63.889.999;62.509.998;63.580.002;0.0191
16/9/2015;63.889.999;64.290.001;63.209.999;64.139.999;0.0088
17/9/2015;64.139.999;64.639.999;62.389.999;62.650.002;-0.0235
18/9/2015;61.830.002;61.830.002;60.779.999;60.939.999;-0.0277
21/9/2015;61.52;61.91;61.080.002;61.450.001;0.0083
22/9/2015;60.599.998;61.09;60.419.998;60.91;-0.0088
23/9/2015;60.799.999;61.150.002;60.32;60.639.999;-0.0044
24/9/2015;60.009.998;60.380.001;59.459.999;60.220.001;-0.007
25/9/2015;61.27;61.860.001;60.869.999;61.470.001;0.0205
28/9/2015;60.919.998;61.009.998;59.689.999;59.98;-0.0245
29/9/2015;59.98;60.130.001;58.73;59.84;-0.0023
30/9/2015;60.700.001;61.00;60.110.001;60.970.001;0.0187
1/10/2015;61.119.999;61.869.999;60.540.001;61.419.998;0.0074
2/10/2015;59.59;60.860.001;58.529.999;60.810.001;-0.01
5/10/2015;61.240.002;62.240.002;61.220.001;62.02;0.0197
6/10/2015;62.110.001;62.360.001;61.619.999;62.049.999;0.0005
7/10/2015;62.549.999;63.029.999;61.759.998;62.130.001;0.0013
8/10/2015;61.849.998;62.25;61.43;62.130.001;0
9/10/2015;62.389.999;62.549.999;61.580.002;61.93;-0.0032
12/10/2015;61.84;62.009.998;61.400.002;61.720.001;-0.0034
13/10/2015;61.389.999;62.16;61.310.001;61.549.999;-0.0028
14/10/2015;60.759.998;60.970.001;59.540.001;59.990.002;-0.0257
15/10/2015;60.470.001;61.959.999;60.099.998;61.889.999;0.0312
16/10/2015;62.43;62.650.002;62.09;62.43;0.0087
19/10/2015;62.00;62.77;61.91;62.220.001;-0.0034
20/10/2015;62.360.001;62.82;62.080.002;62.52;0.0048
21/10/2015;62.880.001;62.959.999;62.049.999;62.060.001;-0.0074
22/10/2015;62.419.998;63.580.002;62.419.998;63.189.999;0.018
23/10/2015;63.630.001;64.190.002;63.50;63.869.999;0.0107
26/10/2015;63.84;63.990.002;63.41;63.900.002;0.0005
27/10/2015;63.529.999;63.860.001;63.310.001;63.639.999;-0.0041
28/10/2015;63.700.001;65.739.998;63.689.999;65.50;0.0288
29/10/2015;65.260.002;65.830.002;64.879.997;65.209.999;-0.0044
30/10/2015;65.300.003;65.339.996;64.129.997;64.25;-0.0148
2/11/2015;64.449.997;65.75;64.389.999;65.540.001;0.0199
3/11/2015;65.290.001;66.099.998;65.169.998;65.779.999;0.0037
4/11/2015;66.010.002;66.150.002;65.629.997;65.849.998;0.0011
5/11/2015;65.790.001;66.669.998;65.75;66.440.002;0.0089
6/11/2015;68.370.003;69.029.999;68.099.998;68.459.999;0.03
9/11/2015;68.699.997;68.720.001;67.080.002;67.389.999;-0.0158
10/11/2015;67.190.002;67.849.998;66.93;67.68;0.0043
11/11/2015;68.099.998;68.169.998;67.25;67.349.998;-0.0049
12/11/2015;66.860.001;66.900.002;65.949.997;66.00;-0.0202
13/11/2015;65.839.996;66.169.998;65.230.003;65.559.998;-0.0067
16/11/2015;65.459.999;66.580.002;65.169.998;66.510.002;0.0144
17/11/2015;66.669.998;66.739.998;65.889.999;66.129.997;-0.0057
18/11/2015;66.480.003;67.550.003;66.370.003;67.449.997;0.0198
19/11/2015;67.580.002;67.82;67.040.001;67.660.004;0.0031
20/11/2015;67.989.998;68.110.001;67.379.997;67.540.001;-0.0018
23/11/2015;67.309.998;67.580.002;66.779.999;66.879.997;-0.0098
24/11/2015;66.169.998;67.139.999;66.040.001;66.779.999;-0.0015
25/11/2015;66.93;67.120.003;66.550.003;66.860.001;0.0012
27/11/2015;67.00;67.330.002;66.639.999;67.169.998;0.0046
30/11/2015;67.279.999;67.519.997;66.68;66.68;-0.0073
1/12/2015;67.339.996;67.830.002;66.989.998;67.610.001;0.0139
2/12/2015;67.830.002;67.879.997;66.480.003;66.660.004;-0.0142
3/12/2015;66.830.002;67.029.999;65.580.002;65.800.003;-0.013
4/12/2015;66.099.998;68.00;66.029.999;67.889.999;0.0313
7/12/2015;67.660.004;67.75;66.400.002;67.00;-0.0132
8/12/2015;66.25;66.959.999;65.699.997;65.959.999;-0.0156
9/12/2015;65.610.001;66.580.002;65.040.001;65.459.999;-0.0076
10/12/2015;65.540.001;66.50;65.080.002;65.610.001;0.0023
11/12/2015;64.800.003;65.160.004;63.509.998;64.07;-0.0238
14/12/2015;64.230.003;64.760.002;63.599.998;64.269.997;0.0031
15/12/2015;65.07;66.650.002;65.07;66.099.998;0.0281
16/12/2015;66.910.004;67.739.998;65.910.004;67.529.999;0.0214
17/12/2015;67.900.002;68.00;66.080.002;66.279.999;-0.0187
18/12/2015;65.970.001;65.970.001;64.400.002;64.400.002;-0.0288
21/12/2015;65.019.997;65.559.998;64.830.002;65.540.001;0.0175
22/12/2015;65.919.998;66.00;64.980.003;65.68;0.0021
23/12/2015;66.120.003;66.849.998;66.050.003;66.730.003;0.0159
24/12/2015;66.620.003;66.889.999;66.32;66.599.998;-0.002
28/12/2015;66.290.001;66.449.997;65.709.999;66.379.997;-0.0033
29/12/2015;66.839.996;67.300.003;66.739.998;67.07;0.0103
30/12/2015;67.040.001;67.050.003;66.449.997;66.589.996;-0.0072
31/12/2015;66.190.002;66.779.999;66.00;66.029.999;-0.0084
